민탕,珉汤,
박천,博川,
방어,防御,
방진,方津,
방현,方岘,
방화,傍花,
배산점,裴山店,
배천,白川,
배천온천,白川温泉,
배화,培花,
백금산,白金山,
백마,白马,
백산청년,栢山青年,
백석,白石,京畿道亦有。https://namu.wiki/w/%EB%B0%B1%EC%84%9D%EC%97%AD(%EC%9D%80%EB%A5%A0%EC%84%A0)
백암,白岩,
백암청년,白岩青年,
백운,白云,
백원,百源,
범포,范浦,
벽성,碧城,
벽양,碧养,
보안,甫安,
보장,堡庄,
보천,普天,
보천청년,普天青年,
보통강,普通江,
복계,福溪,
봉강,凤冈,
봉동,凤东,
봉명,凤鸣,
봉산,凤山,
봉서,凤西,
봉의,凤仪,
봉창,凤仓,
봉천,凤泉,
봉천탄광,凤泉炭矿,
봉학,凤鹤,
부거,富居,
부동,釜洞,
부래산,浮来山,
부령,富宁,
부민,富民,
부산리,富山里,
부성,富成,
부성,富盛,
부전,赴战,
부전령,赴战岭,
부전호반,赴战湖畔,
부지,富只,
부평,富坪,
부포,釜浦,
부풍,富丰,
부흥,富兴,
북계수,北溪水,
북송리,北松里,
북신현,北薪岘,
북중,北中,
북창,北仓,
북청,北青,
분강,分江,
비날론,비날론,
사구,沙口,
사도,蛇岛,
사리원청년,沙里院青年,
사수,泗水,
사오,沙坞,
사포,沙浦,
사향,사향,
사회,四会,
산성,山城,
산수,山水,
산양대,山羊台,
산음,山阴,
삼거,三巨,
삼기,三岐,
삼덕,三德,
삼등,三登,
삼방,三防,
삼봉,三峰,
삼사,三社,
삼산,三山,
삼소,三所,
삼수청년,三水青年,
삼일포,三日浦,
삼지연,三池渊,
삼지연못가,三池渊못가,
삼천,三泉,
삼천포,三川浦,
삼해,三海,
삼향,三乡,
삼호,三湖,
상경평,上境坪,
상농,上农,
상단,上坍,
상대,上台,
상도내,上岛内,
상룡전,上龙田,
상리,上里,
상서,上西,
상수,上水,
상신원,上新院,
상음청년,桑阴青年,
상일,上一,
상통,上通,
상평,上坪,
상풍강,上丰江,
상황토,上黄土,
새길,새길,
새동,새동,
새마을,새마을,
새별,새별,
생기령,生气岭,
생장,生长,
서광량,西广梁,
서두,西头,
서봉산,西凤山,
서부,西部,
서상,西上,
서석,西席,
서시,서시,
서평양,西平壤,
서포,西浦,
서풍산,西丰山,
서하,西下,
서함흥,西咸兴,
서해갑문,西海闸门,
서해리,西海里,
서해주,西海州,
서호,西湖,
서흥,瑞兴,
석간,石间,
석다,石多,
석름,石凛,
석막,石幕,
석봉,石峰,
석탕온천,石汤温泉,
석하,石下,
석현,石岘,
선봉,先锋,
선천,宣川,
성간,城干,
성내,城内,
성덕,城德,
성법,圣法,
성산,城山,
성천,成川,
성천강,城川江,
성호,星湖,
성후,城后,
세길,세길,
세선,世仙,
세천,细川,
세포리,细浦里,
세포청년,洗浦青年,
소도,小桃,
속후,俗厚,
손하,孙河,
송가,松街,
송관,松观,
송남청년,松南青年,
송단,松端,
송당,松堂,
송덕,松德,
송도원,松涛园,
송림청년,松林青年,
송산,松山,
송삼,松三,
송상,松上,
송신,松新,
송전,松田,
송정,松亭,
송중,松中,
송평,松坪,
송하,松下,
송학,松鹤,
송화,松禾,
송화온천,松禾温泉,
송흥,松兴,
수교,水桥,
수구포,水口浦,
수남,水南,
수덕,修德,
수동,水洞,
수성,输城,
수양,首阳,
수의,守义,
수진,水镇,
수촌,水村,
수풍,水丰,
숙천,肃川,
순안,顺安,
순천,顺川,
승방,胜芳,
승방하리,胜芳下里,
승암,胜岩,
승원,胜院,
승호리,胜湖里,
시정,柴井,
시중,时中,
시중호,侍中湖,
신강계,新江界,
신강령,新康翎,
신건,新干,
신계,新溪,
신계림,新鸡林,
신남포,新南浦,
신단천,新端川,
신대,新垈,
신덕,新德,
신련포,新莲浦,
신령리,新宁里,
신룡,新龙,
신명천,新明川,
신북청,新北青,
신상,新上,
신생,新生,
신성천,新成川,
신아산,新阿山,
신안주청년,新安州青年,
신양,新阳,
신온,新温,
신원,新院,
신의주청년,新义州青年,
신전,新田,
신정리,新亭里,
신주막,新酒幕,
신중,新中,
신증산,新甑山,
신참,新站,
신창,新仓,
